Title,Director,Rating,Genre,Duration,Year
Spotlight,TomMcCarthy,8.1,"Biography,Crime,Drama",129min,2015
Dark Waters,ToddHaynes,7.6,"Biography,Drama,History",126min,2019
American Gangster,RidleyScott,7.8,"Biography,Crime,Drama",157min,2007
The Bourne Identity,DougLiman,7.9,"Action,Mystery,Thriller",119min,2002
Remember the Titans,BoazYakin,7.8,"Biography,Drama,Sport",113min,2000
Road to Perdition,SamMendes,7.7,"Crime,Drama,Thriller",117min,2002
The Machinist,BradAnderson,7.7,"Drama,Thriller",101min,2004
Coraline,HenrySelick,7.7,"Animation,Drama,Family",100min,2009
The Blues Brothers,JohnLandis,7.9,"Action,Adventure,Comedy",133min,1980
Beauty and the Beast,"GaryTrousdale,",8,"Animation,Family,Fantasy",84min,1991
Blood Diamond,EdwardZwick,8,"Adventure,Drama,Thriller",143min,2006
District 9,NeillBlomkamp,7.9,"Action,Science Fiction,Thriller",112min,2009
